GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,20900015,4,201939,Stephen Curry,1610612744,Golden State Warriors,1,11,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,99,249,1,0,20091028,GSW,HOU
Shot Chart Detail,20900015,17,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,31,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-122,145,1,1,20091028,GSW,HOU
Shot Chart Detail,20900015,53,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,2,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-60,129,1,0,20091028,GSW,HOU
Shot Chart Detail,20900015,141,201939,Stephen Curry,1610612744,Golden State Warriors,2,9,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-172,82,1,0,20091028,GSW,HOU
Shot Chart Detail,20900015,249,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-68,148,1,0,20091028,GSW,HOU
Shot Chart Detail,20900015,277,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,34,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,39,15,1,0,20091028,GSW,HOU
Shot Chart Detail,20900015,413,201939,Stephen Curry,1610612744,Golden State Warriors,4,10,26,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-64,149,1,1,20091028,GSW,HOU
Shot Chart Detail,20900015,453,201939,Stephen Curry,1610612744,Golden State Warriors,4,6,31,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,118,123,1,1,20091028,GSW,HOU
Shot Chart Detail,20900015,487,201939,Stephen Curry,1610612744,Golden State Warriors,4,2,25,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,121,162,1,1,20091028,GSW,HOU
Shot Chart Detail,20900015,490,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,47,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-125,134,1,1,20091028,GSW,HOU
Shot Chart Detail,20900015,508,201939,Stephen Curry,1610612744,Golden State Warriors,4,0,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,1,1,1,20091028,GSW,HOU
Shot Chart Detail,20900015,520,201939,Stephen Curry,1610612744,Golden State Warriors,4,0,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,15,1,1,20091028,GSW,HOU
Shot Chart Detail,20900030,9,201939,Stephen Curry,1610612744,Golden State Warriors,1,10,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,152,195,1,0,20091030,PHX,GSW
Shot Chart Detail,20900030,18,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-81,205,1,1,20091030,PHX,GSW
Shot Chart Detail,20900030,258,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,125,162,1,1,20091030,PHX,GSW
Shot Chart Detail,20900030,264,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-76,250,1,1,20091030,PHX,GSW
Shot Chart Detail,20900030,313,201939,Stephen Curry,1610612744,Golden State Warriors,3,8,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-158,-6,1,0,20091030,PHX,GSW
Shot Chart Detail,20900030,374,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,57,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20091030,PHX,GSW
Shot Chart Detail,20900030,459,201939,Stephen Curry,1610612744,Golden State Warriors,4,10,14,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20091030,PHX,GSW
Shot Chart Detail,20900030,476,201939,Stephen Curry,1610612744,Golden State Warriors,4,9,6,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,95,48,1,1,20091030,PHX,GSW
Shot Chart Detail,20900030,487,201939,Stephen Curry,1610612744,Golden State Warriors,4,7,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,1,247,1,1,20091030,PHX,GSW
Shot Chart Detail,20900069,21,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,30,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,127,216,1,1,20091104,GSW,MEM
Shot Chart Detail,20900069,66,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,6,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,7,1,0,20091104,GSW,MEM
Shot Chart Detail,20900069,114,201939,Stephen Curry,1610612744,Golden State Warriors,1,1,49,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,154,108,1,1,20091104,GSW,MEM
Shot Chart Detail,20900069,120,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,55,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,56,14,1,0,20091104,GSW,MEM
Shot Chart Detail,20900069,138,201939,Stephen Curry,1610612744,Golden State Warriors,2,11,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,0,258,1,0,20091104,GSW,MEM
Shot Chart Detail,20900069,327,201939,Stephen Curry,1610612744,Golden State Warriors,3,4,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,15,1,1,20091104,GSW,MEM
Shot Chart Detail,20900082,18,201939,Stephen Curry,1610612744,Golden State Warriors,1,10,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,179,44,1,0,20091106,GSW,LAC
Shot Chart Detail,20900082,64,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-120,146,1,0,20091106,GSW,LAC
Shot Chart Detail,20900082,68,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-86,134,1,0,20091106,GSW,LAC
Shot Chart Detail,20900082,286,201939,Stephen Curry,1610612744,Golden State Warriors,3,10,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,23,1,1,20091106,GSW,LAC
Shot Chart Detail,20900082,322,201939,Stephen Curry,1610612744,Golden State Warriors,3,7,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,190,214,1,0,20091106,GSW,LAC
Shot Chart Detail,20900096,278,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-59,242,1,1,20091108,SAC,GSW
Shot Chart Detail,20900096,280,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,138,50,1,0,20091108,SAC,GSW
Shot Chart Detail,20900096,416,201939,Stephen Curry,1610612744,Golden State Warriors,3,1,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-18,252,1,0,20091108,SAC,GSW
Shot Chart Detail,20900096,428,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,130,1,1,0,20091108,SAC,GSW
Shot Chart Detail,20900096,433,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,138,113,1,1,20091108,SAC,GSW
Shot Chart Detail,20900096,492,201939,Stephen Curry,1610612744,Golden State Warriors,4,5,38,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-49,50,1,0,20091108,SAC,GSW
Shot Chart Detail,20900096,542,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-123,145,1,1,20091108,SAC,GSW
Shot Chart Detail,20900096,544,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-65,164,1,1,20091108,SAC,GSW
Shot Chart Detail,20900101,21,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,34,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-157,19,1,0,20091109,GSW,MIN
Shot Chart Detail,20900101,220,201939,Stephen Curry,1610612744,Golden State Warriors,2,5,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,34,265,1,0,20091109,GSW,MIN
Shot Chart Detail,20900101,258,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,42,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,160,25,1,1,20091109,GSW,MIN
Shot Chart Detail,20900101,265,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,35,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,12,1,0,20091109,GSW,MIN
Shot Chart Detail,20900101,382,201939,Stephen Curry,1610612744,Golden State Warriors,3,3,9,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,7,30,1,0,20091109,GSW,MIN
Shot Chart Detail,20900101,429,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,1,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,29,187,225,1,1,20091109,GSW,MIN
Shot Chart Detail,20900101,501,201939,Stephen Curry,1610612744,Golden State Warriors,4,5,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,129,131,1,0,20091109,GSW,MIN
Shot Chart Detail,20900101,583,201939,Stephen Curry,1610612744,Golden State Warriors,4,0,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-166,1,1,0,20091109,GSW,MIN
Shot Chart Detail,20900109,215,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,58,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,-2,1,1,20091111,IND,GSW
Shot Chart Detail,20900109,221,201939,Stephen Curry,1610612744,Golden State Warriors,2,3,52,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,84,175,1,0,20091111,IND,GSW
Shot Chart Detail,20900109,457,201939,Stephen Curry,1610612744,Golden State Warriors,4,6,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,-23,225,1,1,20091111,IND,GSW
Shot Chart Detail,20900109,491,201939,Stephen Curry,1610612744,Golden State Warriors,4,4,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-174,194,1,0,20091111,IND,GSW
Shot Chart Detail,20900109,495,201939,Stephen Curry,1610612744,Golden State Warriors,4,3,58,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,3,1,0,20091111,IND,GSW
Shot Chart Detail,20900109,539,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-212,-14,1,1,20091111,IND,GSW
Shot Chart Detail,20900109,551,201939,Stephen Curry,1610612744,Golden State Warriors,4,0,8,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-248,-13,1,0,20091111,IND,GSW
Shot Chart Detail,20900141,128,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,22,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-67,123,1,1,20091114,MIL,GSW
Shot Chart Detail,20900141,138,201939,Stephen Curry,1610612744,Golden State Warriors,2,11,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091114,MIL,GSW
Shot Chart Detail,20900141,144,201939,Stephen Curry,1610612744,Golden State Warriors,2,11,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,129,19,1,0,20091114,MIL,GSW
Shot Chart Detail,20900141,160,201939,Stephen Curry,1610612744,Golden State Warriors,2,9,43,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20091114,MIL,GSW
Shot Chart Detail,20900141,165,201939,Stephen Curry,1610612744,Golden State Warriors,2,9,12,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,-2,1,1,20091114,MIL,GSW
Shot Chart Detail,20900141,344,201939,Stephen Curry,1610612744,Golden State Warriors,3,3,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091114,MIL,GSW
Shot Chart Detail,20900141,351,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,26,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-15,137,1,1,20091114,MIL,GSW
Shot Chart Detail,20900141,360,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,-142,257,1,1,20091114,MIL,GSW
Shot Chart Detail,20900141,432,201939,Stephen Curry,1610612744,Golden State Warriors,4,7,17,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20091114,MIL,GSW
Shot Chart Detail,20900150,3,201939,Stephen Curry,1610612744,Golden State Warriors,1,11,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-111,137,1,1,20091117,CLE,GSW
Shot Chart Detail,20900150,19,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,154,200,1,0,20091117,CLE,GSW
Shot Chart Detail,20900150,41,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,10,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,1,1,1,20091117,CLE,GSW
Shot Chart Detail,20900150,245,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,37,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,1,1,1,20091117,CLE,GSW
Shot Chart Detail,20900150,292,201939,Stephen Curry,1610612744,Golden State Warriors,3,6,6,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,228,83,1,0,20091117,CLE,GSW
Shot Chart Detail,20900150,333,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,10,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,11,1,1,20091117,CLE,GSW
Shot Chart Detail,20900150,341,201939,Stephen Curry,1610612744,Golden State Warriors,3,1,19,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,239,7,1,1,20091117,CLE,GSW
Shot Chart Detail,20900150,357,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,35,-166,312,1,0,20091117,CLE,GSW
Shot Chart Detail,20900150,371,201939,Stephen Curry,1610612744,Golden State Warriors,4,11,8,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,25,-242,78,1,1,20091117,CLE,GSW
Shot Chart Detail,20900150,384,201939,Stephen Curry,1610612744,Golden State Warriors,4,9,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-37,247,1,0,20091117,CLE,GSW
Shot Chart Detail,20900163,12,201939,Stephen Curry,1610612744,Golden State Warriors,1,10,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,9,190,1,0,20091118,BOS,GSW
Shot Chart Detail,20900163,51,201939,Stephen Curry,1610612744,Golden State Warriors,1,5,46,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,9,1,0,20091118,BOS,GSW
Shot Chart Detail,20900163,137,201939,Stephen Curry,1610612744,Golden State Warriors,2,10,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-234,99,1,1,20091118,BOS,GSW
Shot Chart Detail,20900163,170,201939,Stephen Curry,1610612744,Golden State Warriors,2,7,45,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,7,1,1,20091118,BOS,GSW
Shot Chart Detail,20900163,174,201939,Stephen Curry,1610612744,Golden State Warriors,2,7,12,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,12,176,1,1,20091118,BOS,GSW
Shot Chart Detail,20900163,177,201939,Stephen Curry,1610612744,Golden State Warriors,2,6,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-138,208,1,0,20091118,BOS,GSW
Shot Chart Detail,20900163,219,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,132,213,1,0,20091118,BOS,GSW
Shot Chart Detail,20900163,417,201939,Stephen Curry,1610612744,Golden State Warriors,4,9,12,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,23,113,205,1,0,20091118,BOS,GSW
Shot Chart Detail,20900163,433,201939,Stephen Curry,1610612744,Golden State Warriors,4,7,45,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,75,48,1,1,20091118,BOS,GSW
Shot Chart Detail,20900163,438,201939,Stephen Curry,1610612744,Golden State Warriors,4,7,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,15,250,1,0,20091118,BOS,GSW
Shot Chart Detail,20900181,24,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,168,209,1,0,20091120,GSW,POR
Shot Chart Detail,20900181,69,201939,Stephen Curry,1610612744,Golden State Warriors,1,5,29,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-155,220,1,1,20091120,GSW,POR
Shot Chart Detail,20900181,156,201939,Stephen Curry,1610612744,Golden State Warriors,2,9,31,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,133,89,1,0,20091120,GSW,POR
Shot Chart Detail,20900181,212,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,83,162,1,0,20091120,GSW,POR
Shot Chart Detail,20900181,249,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,29,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-134,235,1,1,20091120,GSW,POR
Shot Chart Detail,20900181,288,201939,Stephen Curry,1610612744,Golden State Warriors,3,10,11,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,59,183,1,0,20091120,GSW,POR
Shot Chart Detail,20900181,307,201939,Stephen Curry,1610612744,Golden State Warriors,3,7,34,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,31,189,1,1,20091120,GSW,POR
Shot Chart Detail,20900181,380,201939,Stephen Curry,1610612744,Golden State Warriors,3,1,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-106,124,1,0,20091120,GSW,POR
Shot Chart Detail,20900181,467,201939,Stephen Curry,1610612744,Golden State Warriors,4,6,16,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-4,74,1,0,20091120,GSW,POR
Shot Chart Detail,20900204,26,201939,Stephen Curry,1610612744,Golden State Warriors,1,10,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,72,238,1,0,20091124,DAL,GSW
Shot Chart Detail,20900204,87,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,43,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-73,89,1,1,20091124,DAL,GSW
Shot Chart Detail,20900204,171,201939,Stephen Curry,1610612744,Golden State Warriors,2,10,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091124,DAL,GSW
Shot Chart Detail,20900204,196,201939,Stephen Curry,1610612744,Golden State Warriors,2,7,16,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-142,89,1,0,20091124,DAL,GSW
Shot Chart Detail,20900204,226,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,196,162,1,1,20091124,DAL,GSW
Shot Chart Detail,20900204,244,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,24,192,1,0,20091124,DAL,GSW
Shot Chart Detail,20900204,247,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,59,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-226,36,1,0,20091124,DAL,GSW
Shot Chart Detail,20900204,362,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,6,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-138,110,1,0,20091124,DAL,GSW
Shot Chart Detail,20900204,485,201939,Stephen Curry,1610612744,Golden State Warriors,4,4,1,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20091124,DAL,GSW
Shot Chart Detail,20900204,487,201939,Stephen Curry,1610612744,Golden State Warriors,4,3,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-40,186,1,1,20091124,DAL,GSW
Shot Chart Detail,20900204,501,201939,Stephen Curry,1610612744,Golden State Warriors,4,2,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-182,159,1,1,20091124,DAL,GSW
Shot Chart Detail,20900204,511,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,8,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,75,56,1,1,20091124,DAL,GSW
Shot Chart Detail,20900216,7,201939,Stephen Curry,1610612744,Golden State Warriors,1,11,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,176,178,1,1,20091125,SAS,GSW
Shot Chart Detail,20900216,20,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,158,213,1,0,20091125,SAS,GSW
Shot Chart Detail,20900216,33,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-158,-14,1,0,20091125,SAS,GSW
Shot Chart Detail,20900216,53,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,18,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-103,132,1,0,20091125,SAS,GSW
Shot Chart Detail,20900216,210,201939,Stephen Curry,1610612744,Golden State Warriors,2,3,38,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,11,1,0,20091125,SAS,GSW
Shot Chart Detail,20900216,216,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,46,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-221,25,1,0,20091125,SAS,GSW
Shot Chart Detail,20900216,242,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,35,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,2,162,1,0,20091125,SAS,GSW
Shot Chart Detail,20900216,269,201939,Stephen Curry,1610612744,Golden State Warriors,3,11,12,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-64,33,1,0,20091125,SAS,GSW
Shot Chart Detail,20900216,271,201939,Stephen Curry,1610612744,Golden State Warriors,3,11,9,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,14,1,1,20091125,SAS,GSW
Shot Chart Detail,20900216,273,201939,Stephen Curry,1610612744,Golden State Warriors,3,10,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-133,88,1,0,20091125,SAS,GSW
Shot Chart Detail,20900216,305,201939,Stephen Curry,1610612744,Golden State Warriors,3,8,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-37,183,1,1,20091125,SAS,GSW
Shot Chart Detail,20900216,316,201939,Stephen Curry,1610612744,Golden State Warriors,3,6,57,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,13,164,1,0,20091125,SAS,GSW
Shot Chart Detail,20900216,501,201939,Stephen Curry,1610612744,Golden State Warriors,4,4,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-205,0,1,1,20091125,SAS,GSW
